stipe_length_cm,growth_rate_mm-day
7.908560133,0.387008804
11.74,0.580558962
11.80701722,0.839174918
15.21862474,0.925014185
19.01824771,0.795294398
15.61762176,0.77410912
6.334535205,1.119937039
4.665336677,1.292530703
15.32111939,1.528451416
13.68120504,1.873455717
13.76,2.32603364
18.40694035,2.19622234
26.10135988,2.497117338
31.59580504,2.345663195
45.15804308,2.193339678
55.42581035,2.644819445
31.32858686,3.272416128
16.51811044,3.575736223
13.851,2.864816882
35.59309625,5.879715211
40.41034464,4.241265077
60.04539049,4.842597507
65.92053004,4.432481652
78.10641141,3.676858173
123.2479821,9.447855849
168.2028662,9.11973571
236.3435035,7.797737797
286.8477405,5.141433461
